date,amount,vendor,not sure,who,category,
3/18/17,$101.27 ,"COSTCO WHSE #1        FLAGSTAFF AZ",2,Bob Smith,,
3/29/17,$6.00 ,"CVS/PHARMACY #21      CAVE CREEK     AZ",2,Alice Smith,food,
3/18/17,$29.32 ,"JENNY'S KITCHEN          CAVE CREEK     AZ",2,Alice Smith,food,
3/11/17,$6.51 ,"LUCKY #777 BENSON       FLAGSTAFF AZ",2,Alice Smith,food,
4/10/17,$1.77 ,"NOB HILL  #628           FLAGSTAFF AZ",2,Bob Smith,,
3/11/17,$35.96 ,"NOB HILL  #628           FLAGSTAFF AZ",2,Bob Smith,,
4/9/17,$14.17 ,"NOB HILL  #628           FLAGSTAFF AZ",2,Alice Smith,food,
3/17/17,$25.96 ,"SAFEWAY  STORE00000007   BENSON      AZ",2,Bob Smith,food,
4/1/17,$17.10 ,"SAFEWAY  STORE00009704   SURPRISE    CA",2,Alice Smith,,
4/2/17,$17.73 ,"WWW COSTCO COM           800-955-2292 WA",2,Alice Smith,food,
4/2/17,$26.59 ,"WWW COSTCO COM           800-955-2292 WA",2,Alice Smith,,
3/29/17,$167.49 ,"WWW COSTCO COM           800-955-2292 WA",2,Alice Smith,,
3/28/17,$8.87 ,"WWW COSTCO COM           800-955-2292 WA",2,Alice Smith,,
3/19/17,$5.99 ,"DREYERS ICE CREAM        FLAGSTAFF     AZ",2,Bob Smith,gift,
4/9/17,$2.71 ,"BIG 5 SPORTING GOODS 058 FLAGSTAFF AZ",2,Bob Smith,household,
4/9/17,$13.58 ,"BIG 5 SPORTING GOODS 058 FLAGSTAFF AZ",2,Bob Smith,,
4/1/17,$110.00 ,"Costco Membership Renewal 1 800 774 2678",2,Alice Smith,household,
4/9/17,$7.61 ,"DOLLAR TREE              FLAGSTAFF AZ",2,Alice Smith,household,
3/25/17,$4.06 ,"THE HOME DEPOT #0628     PHOENIX     AZ",2,Bob Smith,household,
4/6/17,"($1,234.78)","PAYMENT THANK YOU",1,Bob Smith,ignore,
4/8/17,$6.00 ,"24 HOUR FITNESS #123     CAVE CREEK     AZ",2,Alice Smith,kid,
4/9/17,$259.00 ,"CHUMP                800-555-1212 WI",2,Alice Smith,,
3/16/17,$75.00 ,"CHUMP                800-555-1212 WI",2,Alice Smith,kid,
4/2/17,$8.98 ,"GOODWILL INDUSTRIE       SURPRISE    CA",2,Bob Smith,kid,
3/18/17,$12.38 ,"GOODWILL OF SNOWFLAKE VA   CASA GRANDE  CA",2,Alice Smith,,???
3/18/17,$6.73 ,"GOODWILL OF SNOWFLAKE VA   CAVE CREEK     AZ",2,Alice Smith,,
3/12/17,$35.00 ,"IMPARK00370347U          SAN FRANCISCOCA",2,Bob Smith,kid,
4/4/17,($12.00),"KID Gila Bend Parks   602-5551212  AZ",1,Bob Smith,,
4/4/17,$552.00 ,"KID Gila Bend Parks   602-5551212  AZ",2,Bob Smith,,
3/31/17,$432.00 ,"KID Gila Bend Parks   602-5551212  AZ",2,Bob Smith,,
3/25/17,$286.30 ,"KID Gila Bend Parks   602-5551212  AZ",2,Bob Smith,,
3/24/17,$572.60 ,"KID Gila Bend Parks   602-5551212  AZ",2,Bob Smith,,
3/14/17,$930.00 ,"KID Gila Bend Parks   602-5551212  AZ",2,Bob Smith,kid,
3/11/17,$28.76 ,"MICHAELS STORES 1234    FLAGSTAFF AZ",2,Alice Smith,kid,
4/8/17,($21.42),"PAYLESS SHOES12345   FLAGSTAFF     AZ",1,Bob Smith,,
3/19/17,$50.97 ,"PAYLESS SHOESO00048348   FLAGSTAFF     AZ",2,Bob Smith,kid,
3/11/17,$6.48 ,"ROSS STORES #5           FLAGSTAFF AZ",2,Alice Smith,kid,
3/12/17,$34.77 ,"SAN FRANCISCO KITES & TOYSAN FRANCISCOCA",2,Bob Smith,kid,
4/8/17,$73.55 ,"SKECHERS USA #100         FLAGSTAFF     AZ",2,Bob Smith,kid,
4/9/17,$26.03 ,"THECHILDRENS.COM    602-555-1212 AZ",2,Alice Smith,kid,
4/6/17,$41.19 ,"THECHILDRENS.COM    602-555-1212 AZ",2,Alice Smith,kid,
3/22/17,$8.95 ,"PETDATA INC              800-7383463  TX",2,Bob Smith,pet,
4/6/17,$21.37 ,"BEST VET INC #111   PHOENIX     AZ",2,Bob Smith,pet-medical,
4/4/17,$59.99 ,"COMCAST ARIZONA       800-COMCAST  CA",2,Bob Smith,utilities,
